Date,HomeTeam,AwayTeam,Bet,Odds,EV,ActualResult,Profit,Won
2025-01-03,Valencia,Real Madrid,away,1.42,0.050623544063898906,away,0.41999999999999993,True
2025-01-10,Vallecano,Celta,home,2.75,0.14967154206563427,home,1.75,True
2025-01-11,Valladolid,Betis,draw,3.5,0.062948278608711,home,-1.0,False
2025-01-11,Sevilla,Valencia,home,2.0,0.049924982104351256,draw,-1.0,False
2025-01-11,Alaves,Girona,away,2.75,0.18721744150061714,away,1.75,True
2025-01-11,Espanol,Leganes,away,4.0,0.07692568677025968,draw,-1.0,False
2025-01-12,Ath Madrid,Osasuna,away,10.0,0.07275769861789927,home,-1.0,False
2025-01-12,Las Palmas,Getafe,home,2.45,0.27437830716230605,away,-1.0,False
2025-01-13,Sociedad,Villarreal,away,4.0,0.3712664623244144,home,-1.0,False
2025-01-18,Girona,Sevilla,home,1.91,0.06994376082493958,away,-1.0,False
2025-01-18,Getafe,Barcelona,away,1.5,0.04051356744951162,draw,-1.0,False
2025-01-18,Betis,Alaves,home,1.75,0.03557849545871883,away,-1.0,False
2025-01-19,Celta,Ath Bilbao,away,2.6,0.16616975213289642,away,1.6,True
2025-01-19,Osasuna,Vallecano,home,2.15,0.05019194929200377,draw,-1.0,False
2025-01-19,Valencia,Sociedad,away,2.55,0.0418778789788854,home,-1.0,False
2025-01-25,Valladolid,Real Madrid,draw,6.0,0.032465180457661225,away,-1.0,False
2025-01-25,Sevilla,Espanol,draw,3.8,0.07213821452560487,draw,2.8,True
2025-01-25,Mallorca,Betis,away,3.5,0.27878212130368185,away,2.5,True
2025-01-25,Ath Madrid,Villarreal,away,4.75,0.1342186028630603,draw,-1.0,False
2025-01-26,Barcelona,Valencia,draw,7.5,0.16574529493371015,home,-1.0,False
2025-01-26,Sociedad,Getafe,home,1.75,0.12480721447488063,away,-1.0,False
2025-01-26,Vallecano,Girona,away,2.88,0.13178170320337035,home,-1.0,False
2025-01-27,Alaves,Celta,home,2.63,0.14234705487435484,draw,-1.0,False
2025-01-31,Leganes,Vallecano,home,3.3,0.3273627388030622,away,-1.0,False
2025-02-01,Villarreal,Valladolid,draw,7.0,0.16064900960157247,home,-1.0,False
2025-02-01,Getafe,Sevilla,home,2.45,0.03036356069325885,draw,-1.0,False
2025-02-01,Espanol,Real Madrid,draw,5.75,0.07127634386940063,home,-1.0,False
2025-02-01,Ath Madrid,Mallorca,home,1.4,0.0718790158979421,home,0.3999999999999999,True
2025-02-02,Barcelona,Alaves,draw,7.5,0.19531179606168725,home,-1.0,False
2025-02-02,Osasuna,Sociedad,home,3.0,0.29447150244337816,home,2.0,True
2025-02-02,Valencia,Celta,draw,3.1,0.06077242949883832,home,-1.0,False
2025-02-08,Real Madrid,Ath Madrid,home,1.85,0.0726212202474803,draw,-1.0,False
2025-02-08,Las Palmas,Villarreal,draw,3.9,0.439503204719049,away,-1.0,False
2025-02-08,Ath Bilbao,Girona,away,5.0,0.2259930410276758,home,-1.0,False
2025-02-08,Celta,Betis,away,3.2,0.1130562309628107,home,-1.0,False
