Market,League,Predictions,HitRate,AverageProbability,AverageFairOdds,HighConfidencePicks,HighConfidenceHitRate,HighConfidenceAverageProbability,HighConfidenceAverageFairOdds,StrongConfidencePicks,StrongConfidenceHitRate,StrongConfidenceAverageProbability,StrongConfidenceAverageFairOdds,EliteConfidencePicks,EliteConfidenceHitRate,EliteConfidenceAverageProbability,EliteConfidenceAverageFairOdds
TotalCorners_Over_10_5,Scotland_Premiership,1140,0.4903508771929825,0.42487827807146816,2.3817903268892855,4,1.0,0.5743970442829427,1.744060816666063,1,1.0,0.6148395910698061,1.6264404806138524,0,0.0,0.0,0.0
TotalCorners_Over_10_5,La_Liga,1900,0.36157894736842106,0.3878866473802005,2.606909271694384,1,1.0,0.5762557713809143,1.7353405374208113,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TotalCorners_Over_10_5,Portugal_Primeira_Liga,1528,0.39659685863874344,0.3983585500229161,2.542909636427968,1,1.0,0.5716558380583805,1.749304272648528,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TotalCorners_Over_10_5,Serie_A,1899,0.344391785150079,0.3798295188362116,2.670199286767418,1,1.0,0.5782996789978412,1.7292072541574643,0,0.0,0.0,0.0,0,0.0,0.0,0.0
AwayCorners_Over_3_5,Scotland_Premiership,1140,0.6394736842105263,0.610260368325752,1.831578010251494,825,0.7212121212121212,0.6913772072172956,1.4715206876427822,674,0.7403560830860534,0.7168987841806299,1.4129911762833127,323,0.8111455108359134,0.7887969439616734,1.2754101311280892
TotalCorners_Over_8_5,Scotland_Premiership,1140,0.712280701754386,0.6595170285771647,1.5221316489447185,1133,0.7113857016769638,0.6602639140339891,1.520062430682842,1047,0.7144221585482331,0.6665754678113921,1.5040466912219534,181,0.7182320441988951,0.7193467951697893,1.3908209223627896
AwayCorners_Over_3_5,Eredivisie,1530,0.6104575163398693,0.6003830220053985,1.8378983500848918,998,0.7094188376753507,0.6986982999370098,1.455307460147446,836,0.7368421052631579,0.7226395626686783,1.4001707715204292,460,0.7869565217391304,0.7818385625067543,1.2853933549485261
HomeCorners_Over_4_5,Scotland_Premiership,1140,0.6035087719298246,0.5812394241845669,1.9555860352007381,700,0.7,0.6888199756482245,1.4816019534497562,544,0.7389705882352942,0.7213530996971104,1.4077543044363408,267,0.8202247191011236,0.7994172645446376,1.2593734715392961
HomeCorners_Over_5_5,Scotland_Premiership,1140,0.4850877192982456,0.4490113560963264,2.7958187556868,295,0.6983050847457627,0.686901551640192,1.485544479194873,215,0.7674418604651163,0.7290573160350508,1.3891680604814673,136,0.875,0.7818238403062853,1.284382417085177
HomeCorners_Over_4_5,Eredivisie,1530,0.5967320261437908,0.5744391504261952,1.965528516069063,876,0.6929223744292238,0.695755352628383,1.4620077497967645,725,0.7103448275862069,0.7207662072791026,1.4044789624634701,387,0.7855297157622739,0.7829142465334212,1.2840758464526296
AwayCorners_Over_3_5,Portugal_Primeira_Liga,1528,0.606675392670157,0.593781046623573,1.891564594567997,1046,0.6921606118546845,0.6866151227884153,1.48005380677465,855,0.7134502923976608,0.7112111035510577,1.4229484735462987,399,0.7969924812030075,0.7830033609142741,1.2833001025478297
TotalCorners_Over_8_5,Premier_League,1900,0.6915789473684211,0.6506770896493144,1.5429256114515442,1889,0.691371095817893,0.651395603544074,1.5408553901587125,1703,0.6981796829125073,0.6587507781781462,1.5220546461543225,208,0.7644230769230769,0.7207250958005257,1.3883775630168533
HomeCorners_Over_4_5,Belgium_Jupiler,1535,0.6091205211726385,0.5741620618250036,1.8515428789219106,893,0.6909294512877939,0.6655851157336146,1.5216706146314307,688,0.7209302325581395,0.692750519774874,1.4560140111622621,285,0.7368421052631579,0.7582973025465942,1.323065660254921
HomeCorners_Over_4_5,Premier_League,1900,0.5994736842105263,0.5777372175012654,1.8983892482941496,1112,0.6870503597122302,0.6841657194961511,1.486151654880368,867,0.7116493656286044,0.7147866028034532,1.415057409850963,441,0.782312925170068,0.7779467200646182,1.2915768588345116
AwayCorners_Over_4_5,Eredivisie,1530,0.4594771241830065,0.45729609050600284,2.638601163263303,456,0.6864035087719298,0.6619133219535311,1.5311009976530985,334,0.7065868263473054,0.6936749112592859,1.454704039591806,139,0.8273381294964028,0.7608037340691699,1.3192450015619217
HomeCorners_Over_5_5,Eredivisie,1530,0.46862745098039216,0.4430430269816977,2.803424065537876,428,0.6845794392523364,0.6656967046641773,1.5246928739243788,311,0.7170418006430869,0.7005590616412521,1.4414171390769694,140,0.75,0.76706779404785,1.3078578453678582
AwayCorners_Over_3_5,Belgium_Jupiler,1535,0.6195439739413681,0.6025900851171158,1.74441612160536,1043,0.6845637583892618,0.6708660038602365,1.5082972125252083,831,0.7051744885679904,0.6949927488122155,1.4501028604978934,362,0.7513812154696132,0.7535829687429813,1.3308941186577887
AwayCorners_Over_3_5,Premier_League,1900,0.6163157894736843,0.6029130826310065,1.7935254630364172,1259,0.6830818109610802,0.6876591176363938,1.4757157565980301,1040,0.7105769230769231,0.7114369957100417,1.4198569596249575,533,0.7598499061913696,0.7695076352598338,1.3051011635196061
TotalCorners_Over_8_5,Eredivisie,1530,0.6849673202614379,0.6475906791287515,1.5509185227163742,1510,0.6827814569536423,0.649070104207097,1.5467323896658216,1321,0.6896290688872067,0.65871389863431,1.5219062726800896,172,0.7151162790697675,0.7172124711456853,1.3948119548712834
HomeCorners_Over_4_5,Championship,2760,0.6170289855072464,0.5833770037398478,1.7783693931867097,1761,0.6740488358886996,0.6461263571667863,1.5628144762861784,1244,0.7057877813504824,0.6753609838006495,1.4900700241476774,364,0.7252747252747253,0.7467435649428148,1.3422968641773785
AwayCorners_Over_4_5,Scotland_Premiership,1140,0.48157894736842105,0.4665150407677932,2.636840957699501,320,0.671875,0.6728350005962868,1.5117973688419588,227,0.7312775330396476,0.7137914609647475,1.4155630315108187,119,0.8235294117647058,0.7742051337984294,1.2951480017126669
