Season,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,EloDiff,HomeTeamHomeElo,AwayTeamAwayElo,HomeAwayEloDiff,HomeFormPoints,AwayFormPoints,HomeFormGoalsFor,AwayFormGoalsFor,HomeFormGoalsAgainst,AwayFormGoalsAgainst,HomeAttackRating,AwayAttackRating,HomeDefenseRating,AwayDefenseRating,HomeGoalDiffRating,AwayGoalDiffRating,AttackRatingDiff,DefenseRatingDiff,GoalDiffRatingDiff,B365H,B365D,B365A,Result
2019,2019-08-16,Ath Bilbao,Barcelona,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,3.8,1.65,2
2019,2019-08-17,Celta,Real Madrid,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,4.2,1.65,0
2019,2019-08-17,Leganes,Osasuna,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.2,4.2,0
2019,2019-08-17,Mallorca,Eibar,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.2,2.6,2
2019,2019-08-17,Valencia,Sociedad,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,3.75,5.5,1
2019,2019-08-17,Villarreal,Granada,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3.8,6.5,1
2019,2019-08-18,Betis,Valladolid,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,3.75,5.5,0
2019,2019-08-18,Espanol,Sevilla,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.3,2.3,0
2019,2019-08-18,Alaves,Levante,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,3.2,3.6,2
2019,2019-08-18,Ath Madrid,Getafe,1500.0,1500.0,0.0,1500.0,1500.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,4.33,8.0,2
2019,2019-08-23,Granada,Sevilla,1500.0,1510.0,-10.0,1500.0,1510.0,-10.0,1,3,4,2,4,0,4.0,2.0,4.0,0.0,0.0,2.0,2.0,4.0,-2.0,3.6,3.6,1.95,0
2019,2019-08-23,Levante,Villarreal,1490.0,1500.0,-10.0,1500.0,1500.0,0.0,0,1,0,4,1,4,0.0,4.0,1.0,4.0,-1.0,0.0,-4.0,-3.0,-1.0,2.55,3.4,2.62,2
2019,2019-08-24,Celta,Valencia,1490.0,1500.0,-10.0,1490.0,1500.0,-10.0,0,1,1,1,3,1,1.0,1.0,3.0,1.0,-2.0,0.0,0.0,2.0,-2.0,3.1,3.4,2.25,2
2019,2019-08-24,Getafe,Ath Bilbao,1490.0,1510.0,-20.0,1500.0,1500.0,0.0,0,3,0,1,1,0,0.0,1.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-2.0,2.6,3.0,2.9,1
2019,2019-08-24,Osasuna,Eibar,1510.0,1490.0,20.0,1500.0,1490.0,10.0,3,0,1,1,0,2,1.0,1.0,0.0,2.0,1.0,-1.0,0.0,-2.0,2.0,2.5,3.2,2.9,1
2019,2019-08-24,Real Madrid,Valladolid,1510.0,1510.0,0.0,1500.0,1510.0,-10.0,3,3,3,2,1,1,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.2,6.5,13.0,1
2019,2019-08-25,Leganes,Ath Madrid,1490.0,1510.0,-20.0,1490.0,1500.0,-10.0,0,3,0,1,1,0,0.0,1.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-2.0,4.75,3.4,1.8,0
2019,2019-08-25,Alaves,Espanol,1510.0,1490.0,20.0,1510.0,1500.0,10.0,3,0,1,0,0,2,1.0,0.0,0.0,2.0,1.0,-2.0,1.0,-2.0,3.0,2.45,3.2,3.0,1
2019,2019-08-25,Barcelona,Betis,1490.0,1490.0,0.0,1500.0,1500.0,0.0,0,0,0,1,1,2,0.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,1.25,6.0,10.0,2
2019,2019-08-25,Mallorca,Sociedad,1510.0,1500.0,10.0,1510.0,1500.0,10.0,3,1,2,1,1,1,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.1,3.1,2.4,0
2019,2019-08-30,Sevilla,Celta,1519.71225631668,1500.28774368332,19.424512633359882,1500.0,1500.0,0.0,6,3,3,2,0,3,1.5,1.0,0.0,1.5,1.5,-0.5,0.5,-1.5,2.0,1.53,4.2,6.0,1
2019,2019-08-30,Ath Bilbao,Sociedad,1509.4249887221547,1510.28774368332,-0.8627549611653649,1510.0,1510.28774368332,-0.28774368332005906,4,4,2,2,1,1,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,2.3,3.1,3.4,2
2019,2019-08-31,Betis,Leganes,1480.0,1480.5750112778453,-0.5750112778453058,1490.0,1500.0,-10.0,0,0,3,0,7,2,1.5,0.0,3.5,1.0,-2.0,-1.0,1.5,2.5,-1.0,1.95,3.3,4.33,2
2019,2019-08-31,Getafe,Alaves,1490.5750112778453,1509.4249887221547,-18.84997744430939,1500.0,1500.0,0.0,1,4,1,1,2,0,0.5,0.5,1.0,0.0,-0.5,0.5,0.0,1.0,-1.0,1.72,3.4,5.75,1
2019,2019-08-31,Levante,Valladolid,1500.28774368332,1510.0,-9.712256316679941,1510.0,1509.71225631668,0.28774368332005906,3,4,2,3,2,2,1.0,1.5,1.0,1.0,0.0,0.5,-0.5,0.0,-0.5,2.0,3.5,3.75,2
2019,2019-08-31,Osasuna,Barcelona,1509.4249887221547,1500.0,9.424988722154694,1499.71225631668,1490.0,9.712256316679941,4,3,1,5,0,3,0.5,2.5,0.0,1.5,0.5,1.0,-2.0,-1.5,-0.5,10.0,5.0,1.33,1
2019,2019-09-01,Ath Madrid,Eibar,1519.4249887221547,1490.5750112778453,28.84997744430939,1510.0,1490.28774368332,19.71225631667994,6,1,2,1,0,2,1.0,0.5,0.0,1.0,1.0,-0.5,0.5,-1.0,1.5,1.4,4.0,10.0,2
2019,2019-09-01,Espanol,Granada,1490.5750112778453,1490.28774368332,0.28726759452524675,1490.0,1500.0,-10.0,1,1,0,4,2,5,0.0,2.0,1.0,2.5,-1.0,-0.5,-2.0,-1.5,-0.5,2.05,3.3,4.0,0
2019,2019-09-01,Valencia,Mallorca,1489.71225631668,1499.71225631668,-10.0,1500.0,1500.0,0.0,1,3,1,2,2,2,0.5,1.0,1.0,1.0,-0.5,0.0,-0.5,0.0,-0.5,1.4,4.75,8.0,2
2019,2019-09-01,Villarreal,Real Madrid,1489.71225631668,1510.0,-20.28774368332006,1500.0,1510.0,-10.0,1,4,5,4,6,2,2.5,2.0,3.0,1.0,-0.5,1.0,0.5,2.0,-1.5,3.6,4.0,1.9,1
2019,2019-09-13,Mallorca,Ath Bilbao,1489.4245126333599,1519.44982075502,-30.025308121660146,1499.71225631668,1500.0,-0.28774368332005906,3,7,2,4,4,1,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,-0.6666666666666666,1.0,-0.6666666666666666,1.0,-1.6666666666666665,3.4,3.1,2.3,1
2019,2019-09-14,Sociedad,Ath Madrid,1500.2629116504547,1528.596522873633,-28.333611223178195,1500.0,1509.71225631668,-9.712256316679941,4,9,2,5,3,2,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,-0.33333333333333337,1.0,-1.0,0.33333333333333337,-1.3333333333333335,3.8,3.2,2.1,2
2019,2019-09-14,Real Madrid,Levante,1509.4167345713752,1510.56721209952,-1.1504775281448474,1500.28774368332,1490.0,10.287743683320059,5,6,6,4,4,2,2.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666667,0.6666666666666666,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16,1.22,6.5,12.0,2
2019,2019-09-14,Barcelona,Valencia,1500.2712064588613,1500.0,0.271206458861343,1510.0,1489.71225631668,20.28774368332006,4,4,7,3,5,2,2.3333333333333335,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666667,0.33333333333333337,1.3333333333333335,1.0,0.33333333333333337,1.44,4.75,7.0,2
2019,2019-09-14,Leganes,Villarreal,1470.5584611379977,1490.2955217453048,-19.737060607307058,1480.28774368332,1490.0,-9.712256316679941,0,2,1,7,4,8,0.3333333333333333,2.3333333333333335,1.3333333333333333,2.6666666666666665,-1.0,-0.33333333333333304,-2.0,-1.3333333333333333,-0.666666666666667,2.45,3.1,3.2,0
