League,LeagueCode,SeasonCode,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Result,ResultLabel,B365H,B365D,B365A,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
Belgium_Jupiler,B1,1920,2019,2019-07-26,Genk,Kortrijk,2,1,H,2,home,1.36,4.75,8.5,10.0,8.0,2.0,4.0,6.0,2.0,7.0,22.0,0.0,1.0,0.0,0.0
Belgium_Jupiler,B1,1920,2019,2019-07-27,Cercle Brugge,Standard,0,2,A,0,away,3.75,3.75,1.85,13.0,14.0,5.0,9.0,3.0,7.0,16.0,15.0,2.0,2.0,1.0,0.0
Belgium_Jupiler,B1,1920,2019,2019-07-27,St Truiden,Mouscron,0,1,A,0,away,1.9,3.75,3.75,10.0,10.0,4.0,6.0,5.0,5.0,10.0,21.0,2.0,4.0,0.0,0.0
Belgium_Jupiler,B1,1920,2019,2019-07-27,Waasland-Beveren,Club Brugge,1,3,A,0,away,6.5,4.0,1.5,7.0,25.0,2.0,22.0,1.0,14.0,18.0,12.0,3.0,1.0,0.0,0.0
Belgium_Jupiler,B1,1920,2019,2019-07-27,Waregem,Mechelen,0,2,A,0,away,2.15,3.6,3.1,7.0,10.0,2.0,5.0,4.0,2.0,14.0,21.0,3.0,1.0,0.0,0.0
Belgium_Jupiler,B1,1920,2019,2019-07-28,Anderlecht,Oostende,1,2,A,0,away,1.36,4.5,9.0,15.0,8.0,6.0,6.0,5.0,2.0,12.0,17.0,1.0,3.0,0.0,0.0
Belgium_Jupiler,B1,1920,2019,2019-07-28,Charleroi,Gent,1,1,D,1,draw,3.1,3.25,2.3,7.0,5.0,4.0,4.0,5.0,6.0,20.0,21.0,0.0,2.0,0.0,0.0
Belgium_Jupiler,B1,1920,2019,2019-07-28,Eupen,Antwerp,1,4,A,0,away,3.8,3.3,1.95,12.0,14.0,3.0,8.0,3.0,10.0,18.0,10.0,1.0,2.0,0.0,0.0
Belgium_Jupiler,B1,1920,2019,2019-08-02,Club Brugge,St Truiden,6,0,H,2,home,1.25,5.5,12.0,16.0,4.0,10.0,2.0,6.0,2.0,19.0,12.0,1.0,3.0,1.0,0.0
Championship,E1,1920,2019,2019-08-02,Luton,Middlesbrough,3,3,D,1,draw,2.37,3.3,3.3,12.0,17.0,4.0,8.0,8.0,11.0,14.0,20.0,2.0,2.0,0.0,0.0
Eredivisie,N1,1920,2019,2019-08-02,Zwolle,Willem II,1,3,A,0,away,2.0,3.5,3.6,9.0,17.0,2.0,8.0,2.0,9.0,10.0,6.0,1.0,1.0,0.0,0.0
Belgium_Jupiler,B1,1920,2019,2019-08-03,Kortrijk,Charleroi,1,1,D,1,draw,2.3,3.4,3.0,7.0,11.0,4.0,6.0,10.0,3.0,21.0,18.0,1.0,2.0,0.0,0.0
Belgium_Jupiler,B1,1920,2019,2019-08-03,Mechelen,Genk,3,1,H,2,home,4.33,3.4,1.85,11.0,9.0,5.0,5.0,5.0,4.0,14.0,13.0,1.0,0.0,0.0,0.0
Belgium_Jupiler,B1,1920,2019,2019-08-03,Oostende,Cercle Brugge,3,1,H,2,home,2.15,3.5,3.2,11.0,9.0,7.0,4.0,3.0,2.0,9.0,18.0,0.0,2.0,0.0,1.0
Belgium_Jupiler,B1,1920,2019,2019-08-03,Standard,Waregem,4,0,H,2,home,1.53,4.33,5.5,16.0,3.0,7.0,1.0,4.0,2.0,19.0,18.0,0.0,2.0,0.0,1.0
Championship,E1,1920,2019,2019-08-03,Barnsley,Fulham,1,0,H,2,home,3.5,3.5,2.2,17.0,15.0,4.0,4.0,7.0,5.0,16.0,14.0,3.0,1.0,0.0,0.0
Championship,E1,1920,2019,2019-08-03,Blackburn,Charlton,1,2,A,0,away,1.83,3.75,4.75,14.0,9.0,2.0,5.0,12.0,2.0,15.0,13.0,0.0,3.0,0.0,0.0
Championship,E1,1920,2019,2019-08-03,Brentford,Birmingham,0,1,A,0,away,1.7,4.0,5.5,15.0,1.0,3.0,1.0,6.0,2.0,10.0,12.0,1.0,3.0,0.0,0.0
Championship,E1,1920,2019,2019-08-03,Millwall,Preston,1,0,H,2,home,2.62,3.3,2.9,8.0,5.0,3.0,0.0,8.0,7.0,11.0,18.0,2.0,3.0,0.0,0.0
Championship,E1,1920,2019,2019-08-03,Nott'm Forest,West Brom,1,2,A,0,away,2.5,3.4,3.0,15.0,12.0,4.0,3.0,9.0,5.0,8.0,6.0,0.0,1.0,0.0,0.0
Championship,E1,1920,2019,2019-08-03,Reading,Sheffield Weds,1,3,A,0,away,2.62,3.3,2.9,13.0,13.0,4.0,5.0,7.0,3.0,12.0,15.0,0.0,3.0,0.0,1.0
Championship,E1,1920,2019,2019-08-03,Stoke,QPR,1,2,A,0,away,1.8,3.6,5.25,13.0,5.0,1.0,3.0,7.0,0.0,18.0,14.0,1.0,3.0,0.0,0.0
Championship,E1,1920,2019,2019-08-03,Swansea,Hull,2,1,H,2,home,2.05,3.5,4.0,19.0,12.0,8.0,4.0,10.0,4.0,9.0,10.0,2.0,2.0,0.0,0.0
Championship,E1,1920,2019,2019-08-03,Wigan,Cardiff,3,2,H,2,home,3.1,3.3,2.5,12.0,13.0,4.0,4.0,6.0,6.0,9.0,15.0,2.0,4.0,0.0,0.0
Eredivisie,N1,1920,2019,2019-08-03,FC Emmen,Groningen,0,1,A,0,away,3.1,3.4,2.25,7.0,10.0,2.0,4.0,6.0,7.0,10.0,5.0,2.0,2.0,0.0,0.0
Eredivisie,N1,1920,2019,2019-08-03,Twente,PSV Eindhoven,1,1,D,1,draw,10.0,4.33,1.36,3.0,16.0,2.0,5.0,0.0,7.0,10.0,15.0,1.0,1.0,0.0,0.0
Eredivisie,N1,1920,2019,2019-08-03,VVV Venlo,Waalwijk,3,1,H,2,home,1.85,3.8,3.8,11.0,15.0,6.0,3.0,2.0,3.0,12.0,12.0,2.0,3.0,0.0,0.0
Eredivisie,N1,1920,2019,2019-08-03,Vitesse,Ajax,2,2,D,1,draw,6.5,4.5,1.44,13.0,26.0,3.0,9.0,0.0,9.0,15.0,13.0,3.0,3.0,1.0,0.0
