TestSeason,League,Date,HomeTeam,AwayTeam,Bet,ModelProb,Odds,EV,ActualResult,Profit,Won,CumulativeProfit
2021,Scotland_Premiership,2021-07-31,Dundee,St Mirren,home,0.513260102768987,2.55,0.30881326206091675,draw,-1.0,False,-1.0
2021,Belgium_Jupiler,2021-08-01,Waregem,Standard,away,0.5648485396961241,2.15,0.2144243603466669,away,1.15,True,0.1499999999999999
2021,Championship,2021-08-07,Preston,Hull,home,0.6148592549804067,2.25,0.3834333237059151,away,-1.0,False,-0.8500000000000001
2021,Scotland_Premiership,2021-08-07,St Mirren,Hearts,home,0.43868564786526165,2.9,0.2721883788092587,away,-1.0,False,-1.85
2021,Portugal_Primeira_Liga,2021-08-08,Tondela,Santa Clara,away,0.4832072854822693,2.45,0.18385784943155992,home,-1.0,False,-2.85
2021,Belgium_Jupiler,2021-08-13,Charleroi,Antwerp,away,0.47427839776007774,2.55,0.20940991428819822,draw,-1.0,False,-3.85
2021,Eredivisie,2021-08-13,Go Ahead Eagles,Heerenveen,home,0.5262001235825754,2.7,0.4207403336729536,away,-1.0,False,-4.85
2021,La_Liga,2021-08-13,Valencia,Getafe,home,0.5276713775756365,2.55,0.34556201281787313,home,1.5499999999999998,True,-3.3
2021,Portugal_Primeira_Liga,2021-08-13,Estoril,Guimaraes,home,0.48325068112338904,2.7,0.30477683903315045,draw,-1.0,False,-4.3
2021,Championship,2021-08-14,Birmingham,Stoke,away,0.4456855958227394,2.8,0.2479196683036704,draw,-1.0,False,-5.3
2021,Championship,2021-08-14,Hull,QPR,away,0.5643690319044783,2.6,0.46735948295164365,away,1.6,True,-3.6999999999999997
2021,Eredivisie,2021-08-14,For Sittard,Twente,home,0.4742269121838733,2.62,0.24247450992174802,home,1.62,True,-2.0799999999999996
2021,La_Liga,2021-08-14,Cadiz,Levante,home,0.4181084534507644,2.8,0.17070366966214023,draw,-1.0,False,-3.0799999999999996
2021,La_Liga,2021-08-14,Osasuna,Espanol,home,0.6108140240483808,2.25,0.37433155410885677,draw,-1.0,False,-4.08
2021,Portugal_Primeira_Liga,2021-08-16,Boavista,Pacos Ferreira,away,0.4534416633109041,2.75,0.24696457410498618,home,-1.0,False,-5.08
2021,Championship,2021-08-17,Barnsley,Luton,home,0.5368892384030688,2.3,0.23484524832705822,away,-1.0,False,-6.08
2021,Championship,2021-08-17,Millwall,Fulham,away,0.5512216874089176,2.15,0.18512662792917278,away,1.15,True,-4.93
2021,Championship,2021-08-17,Peterboro,Cardiff,away,0.48130878247447006,2.4,0.1551410779387281,draw,-1.0,False,-5.93
2021,Championship,2021-08-17,Reading,Bristol City,home,0.5939728003128041,2.2,0.306740160688169,away,-1.0,False,-6.93
2021,Championship,2021-08-18,Birmingham,Bournemouth,away,0.5280908637274166,2.4,0.2674180729458,away,1.4,True,-5.529999999999999
2021,Championship,2021-08-18,West Brom,Sheffield United,home,0.603153843517062,2.1,0.2666230713858304,home,1.1,True,-4.43
2021,Eredivisie,2021-08-20,Nijmegen,Zwolle,away,0.4192810173833105,2.75,0.15302279780410388,home,-1.0,False,-5.43
